alpha,qw,q2,mmse,sols,qw_,q2_,mmse_
2.3000540000000003,0.3061334735854462,0.8309903709437578,0.1690096290562422,"[0.0, 0.3061334735854462]",nan,nan,nan
2.3250535,0.3073439680111282,0.8325690712872196,0.16743092871278045,"[0.0, 0.3073439680111282, 0.9513428690545771, 0.9652915042991469]",0.9652915042991469,0.9485624750172926,0.051437524982707386
2.3500530000000004,0.3085352077285141,0.8341177812542332,0.16588221874576684,"[0.0, 0.3085352077285141, 0.941828246801118, 0.9721662561131408]",0.9721662561131408,0.9566316672282674,0.04336833277173258
2.3750525000000002,0.3097077660329836,0.8356373581050611,0.1643626418949389,"[0.0, 0.3097077660329836, 0.935456956747398, 0.9759417847619051]",0.9759417847619051,0.9614431916289818,0.038556808371018166
2.400052,0.3108621924580964,0.8371286264931048,0.1628713735068952,"[0.0, 0.3108621924580964, 0.9301844528384221, 0.9786723780376025]",0.9786723780376025,0.9651019576691748,0.03489804233082517
2.4250515000000004,0.31199901375171557,0.8385923796843207,0.16140762031567937,"[0.0, 0.31199901375171557, 0.9255389442987879, 0.9808182365750779]",0.9808182365750779,0.968087739119821,0.03191226088017896
2.450051,0.3131187354802455,0.8400293814874921,0.15997061851250796,"[0.0, 0.3131187354802455, 0.9213187997654744, 0.9825889868810809]",0.9825889868810809,0.9706275197170546,0.029372480282945375
2.4750505000000005,0.3142218431178837,0.8414403676793532,0.15855963232064688,"[0.0, 0.3142218431178837, 0.9174144728591493, 0.9840888824648203]",0.9840888824648203,0.9728344199392538,0.027165580060746215
2.5000500000000003,0.3153088031161015,0.8428260472528535,0.15717395274714654,"[0.0, 0.3153088031161015, 0.9137580540867725, 0.9853826830928629]",0.9853826830928629,0.9747803385379857,0.02521966146201427
2.5250495,0.31638006361979254,0.8441871034026732,0.1558128965973268,"[0.0, 0.31638006361979254, 0.9103055406485575, 0.9865164826574512]",0.9865164826574512,0.97651864553339,0.023481354466610045
2.5500490000000005,0.3174360553513885,0.8455241945601878,0.15447580543981224,"[0.0, 0.3174360553513885, 0.9070241067090312, 0.9875198311494067]",0.9875198311494067,0.9780833802534108,0.02191661974658921
2.5750485000000003,0.318477192679368,0.8468379558466348,0.15316204415336523,"[0.0, 0.318477192679368, 0.9038912047216551, 0.9884153649031393]",0.9884153649031393,0.9795014493661414,0.02049855063385864
2.600048,0.3195038744930591,0.8481290001141094,0.15187099988589062,"[0.0, 0.3195038744930591, 0.900887138133334, 0.9892204513668771]",0.9892204513668771,0.9807939768344393,0.019206023165560752
2.6250475000000004,0.3205164848692056,0.8493979188861045,0.15060208111389553,"[0.0, 0.3205164848692056, 0.8979985097944357, 0.9899489457972903]",0.9899489457972903,0.9819782831376743,0.01802171686232568
2.6500470000000003,0.3215153936517115,0.8506452830596879,0.14935471694031213,"[0.0, 0.3215153936517115, 0.8952137583918065, 0.9906092495632215]",0.9906092495632215,0.9830640931670462,0.016935906832953766
2.6750465,0.3225009570888453,0.8518716437954725,0.1481283562045275,"[0.0, 0.3225009570888453, 0.8925222595888025, 0.9912138842064914]",0.9912138842064914,0.984068798141202,0.015931201858798042
