alpha,qw,q2,mmse
0.80008,0.0,0.4739518159999933,0.5260481840000067
0.81007975,0.0,0.477556460697487,0.5224435393025132
0.8200795,0.0,0.48112073646893555,0.5188792635310645
0.8300792499999999,0.0,0.48464517334789947,0.5153548266521006
0.840079,0.0,0.48813029532515845,0.5118697046748416
0.85007875,0.0,0.4915766203415136,0.5084233796584865
0.8600785,0.0,0.4949846602831982,0.5050153397168019
0.8700782499999999,0.0,0.4983549209833163,0.5016450790166839
0.880078,0.0,0.5016879022263945,0.49831209777360563
0.89007775,0.0,0.5049840977569336,0.49501590224306646
0.9000775,0.01655605567216992,0.5083213925034291,0.491678607496571
0.91007725,0.02306810811269652,0.5116164237342236,0.48838357626577655
0.920077,0.029529693975083537,0.5148968383670036,0.4851031616329965
0.93007675,0.03594138839105942,0.5181617865082798,0.4818382134917203
0.9400765,0.04230379990320831,0.5214104810304198,0.47858951896958035
0.95007625,0.048617600056341984,0.5246421958096804,0.4753578041903197
0.9600759999999999,0.05488349182895135,0.5278562628078655,0.47214373719213465
0.97007575,0.06110220969285298,0.5310520696430222,0.4689479303569779
0.9800755,0.06727452356066473,0.5342290573758475,0.46577094262415264
0.99007525,0.07340121855699636,0.5373867175427919,0.46261328245720823
1.000075,0.07948310551764165,0.5405245901682117,0.45947540983178836
1.01007475,0.08552101002505717,0.5436422611281814,0.45635773887181874
1.0200745,0.091515770182209,0.5467393598283664,0.4532606401716337
1.03007425,0.09746823913613019,0.5498155571691205,0.45018444283087966
1.040074,0.10337927519144037,0.5528705630277039,0.44712943697229623
1.05007375,0.10924974844855052,0.5559041245502734,0.44409587544972673
1.0600735,0.11508053213757445,0.5589160238038573,0.4410839761961428
1.07007325,0.12087250648936199,0.5619060761060442,0.43809392389395596
1.080073,0.12662655471520412,0.5648741280368242,0.43512587196317587
1.09007275,0.13234356312082818,0.5678200557348068,0.43217994426519335
1.1000725,0.13802442083617572,0.5707437632557802,0.42925623674421987
1.11007225,0.14367001768896664,0.5736451808914429,0.4263548191085572
1.120072,0.14928124588614897,0.576524263792246,0.42347573620775414
1.13007175,0.15485899712731005,0.5793809903776713,0.4206190096223288
1.1400715,0.16040416495769963,0.5822153611497106,0.4177846388502895
1.1500712499999999,0.16591764199752598,0.58502739723945,0.41497260276055015
1.160071,0.17140032227213592,0.5878171393609379,0.4121828606390622
1.17007075,0.1768530989948151,0.5905846465171253,0.40941535348287483
1.1800705,0.18227686649712038,0.5933299950582328,0.4066700049417673
1.19007025,0.1876725188372349,0.596053277562093,0.4039467224379071
1.20007,0.19304095106754188,0.5987546019659195,0.40124539803408066
1.21006975,0.19838305873410747,0.6014340906222421,0.39856590937775804
1.2200695,0.20369973868197894,0.6040918795073864,0.3959081204926137
1.23006925,0.20899188906397023,0.6067281174199468,0.3932718825800533
1.240069,0.21426040989408265,0.6093429652713565,0.39065703472864366
1.25006875,0.21950620347143726,0.6119365954142172,0.3880634045857829
1.2600685,0.22473017488559666,0.6145091910231798,0.3854908089768203
1.27006825,0.22993323257398543,0.6170609455244856,0.38293905447551446
1.280068,0.23511628893439318,0.6195920620729284,0.3804079379270717
1.29006775,0.24028026098450656,0.6221027530741166,0.37789724692588356
1.3000675,0.24542607108323047,0.6245932397520134,0.3754067602479867
1.31006725,0.2505546477056498,0.6270637517598489,0.3729362482401512
1.3200669999999999,0.25566692625950255,0.6295145268321436,0.37048547316785646
1.33006675,0.26076385007011343,0.6319458104887,0.36805418951130003
1.3400665,0.2658463711507328,0.634357855753955,0.3656421442460451
1.35006625,0.2709154514392616,0.6367509229545207,0.3632490770454793
1.360066,0.27597206378691536,0.6391252795276156,0.3608747204723845
1.37006575,0.28101719316257084,0.6414811998831985,0.35851880011680154
1.3800655,0.28605183790511296,0.6438189653037923,0.3561810346962077
1.39006525,0.29107701108894557,0.6461388638880966,0.35386113611190345
1.400065,0.29609374198132515,0.6484411905363504,0.35155880946364965
1.41006475,0.30110307761414973,0.6507262469798692,0.3492737530201308
1.4200645,0.3061060844523571,0.6529943418532881,0.34700565814671197
1.43006425,0.31110385015137343,0.6552457908091172,0.3447542091908829
1.440064,0.31609748552814376,0.6574809166882604,0.3425190833117397
1.45006375,0.32108812669063425,0.659700049742131,0.340299950257869
1.4600635,0.32607693725379,0.6619035278999293,0.3380964721000707
1.47006325,0.3310651107309147,0.6640916970917372,0.33590830290826285
1.480063,0.3360538732839906,0.6662649116493715,0.33373508835062854
1.4900627499999999,0.34104448651922115,0.6684235347536499,0.33157646524635015
1.5000625,0.34603825057237614,0.6705679389567947,0.3294320610432054
1.51006225,0.35103650761461713,0.6726985067981022,0.3273014932018979
1.520062,0.3560406453845042,0.6748156314728389,0.3251843685271612
1.53006175,0.3610521014031824,0.6769197176319237,0.32308028236807634
1.5400615,0.36607236722725506,0.6790111822452766,0.3209888177547235
1.55006125,0.3711029934653209,0.68109045561681,0.31890954438319
1.560061,0.3761455949632705,0.6831579824903531,0.31684201750964697
1.57006075,0.38120185680879376,0.6852142233292785,0.31478577667072155
1.5800605,0.38627354077452936,0.6872596557355615,0.3127403442644386
1.59006025,0.39136249250114974,0.6892947760541106,0.31070522394588945
1.60006,0.3964706495431747,0.691320101190226,0.30867989880977403
1.61005975,0.40160005028650064,0.6933361706565876,0.30666382934341246
1.6200595,0.4067528436984945,0.6953435488620547,0.3046564511379453
1.63005925,0.41193130075167095,0.6973428277662316,0.3026571722337685
1.640059,0.4171378267361955,0.69933462982884,0.3006653701711601
1.65005875,0.42237497536908575,0.7013196113943311,0.298680388605669
1.6600584999999999,0.4276454647212297,0.7032984665503088,0.29670153344969125
1.67005825,0.43295219528471773,0.7052719315422928,0.2947280684577072
1.680058,0.4382982705409162,0.7072407898410831,0.292759210158917
1.69005775,0.4436870204670974,0.7092058779798197,0.29079412202018035
1.7000575,0.44912202851313837,0.7111680923035265,0.28883190769647354
1.71005725,0.454607162702702,0.7131283968070252,0.28687160319297483
1.720057,0.46014661166665505,0.7150878322788802,0.2849121677211199
1.73005675,0.4657449266143807,0.7170475270228435,0.2829524729771566
1.7400565,0.4714070704376593,0.7190087094886463,0.2809912905113538
1.75005625,0.47713847526021214,0.7209727232038614,0.27902727679613865
1.760056,0.48294511105886,0.7229410446394846,0.27705895536051545
1.77005575,0.4888335669989072,0.7249153045832283,0.2750846954167718
1.7800555,0.4948111492071977,0.726897313986116,0.27310268601388404
1.79005525,0.5008859989740093,0.7288890954270136,0.2711109045729864
1.800055,0.507067237016434,0.7308929217631469,0.26910707823685315
1.81005475,0.5133651406605059,0.7329113639702504,0.2670886360297497
1.8200545,0.5197913642762098,0.7349473510492476,0.2650526489507525
1.8300542499999999,0.5263592160894724,0.7370042458084034,0.26299575419159665
