alpha,mmse,qw,q2
2.2,0.05892025639094301,0.9612711111111111,0.9412015644444444
3.8,0.0016121671686365813,0.9991857777777774,0.9983870103703703
2.4,0.031914938566035,0.9807377777777778,0.9676639051851852
4.0,0.0012436729368771075,0.9993724444444443,0.9987562429629631
2.6,0.017000509665521846,0.9907857777777778,0.9831969896296296
2.0,0.121000637610697,0.892488888888889,0.8793196325925926
3.2,0.0028047707628282388,0.9985777777777778,0.9972097422222224
2.8,0.010809839088150868,0.9941902222222224,0.9891053037037036
3.4,0.003969019113764111,0.9980053333333332,0.9960760414814815
3.6,0.0026693583009324575,0.998615111111111,0.9973133037037036
3.0,0.008793228365662327,0.995328,0.9912565570370372
1.6,0.23880702654969227,0.1309208888888889,0.7627554844444444
3.8,0.0013523828356484435,0.9993226666666664,0.9986547437037037
2.2,0.04445633914079893,0.9722044444444446,0.9556962844444444
4.0,0.0015847918940782373,0.9992106666666665,0.9984311940740741
2.4,0.025701081737062,0.985495111111111,0.974260740740741
2.6,0.016270579560474497,0.9911857777777777,0.983764005925926
1.8,0.21688818739913085,0.43154666666666663,0.7797275733333333
2.8,0.011684242021699693,0.9937333333333332,0.9882427496296294
3.0,0.006283659708655049,0.9967804444444446,0.9937238992592593
2.0,0.13417753166828011,0.8686879999999999,0.8658949925925925
1.6,0.23813700794630033,0.12078222222222224,0.7641041066666666
1.8,0.2097954458586881,0.49248533333333333,0.7881676088888889
2.0,0.17345910079448384,0.7831448888888889,0.8282427022222223
3.2,0.004636922461410907,0.9976568888888887,0.9954066962962965
3.4,0.0030962119659288805,0.9983768888888889,0.9969016177777777
2.3,0.03885877550659932,0.9755146666666665,0.9603916562962962
3.6,0.0020913987970799623,0.9989493333333336,0.997915994074074
2.5,0.018304139903488188,0.9897795555555555,0.9814319644444445
3.8,0.0014214884609828843,0.9992906666666669,0.9986032592592593
2.7,0.01211271627775691,0.9934897777777779,0.9878454992592595
4.0,0.001814344173351484,0.9990879999999998,0.9982164148148149
2.9,0.007563569103856455,0.9959164444444443,0.9923487051851851
3.2,0.0029736779541709945,0.9984764444444447,0.9970236444444448
2.3,0.031927325796416016,0.9817866666666667,0.9686320592592592
3.4,0.002431658669501705,0.9987324444444446,0.9975854696296298
2.5,0.02360056441579135,0.9868782222222222,0.977069771851852
3.6,0.0010815077360345295,0.9994524444444444,0.9989114311111109
3.8,0.0013272976611903569,0.9993191111111109,0.9986417066666666
2.7,0.012337177944074532,0.9934275555555554,0.9876929659259261
4.0,0.001230810907799513,0.9993706666666666,0.9987576414814812
