alpha,qw,q2,mmse,sols,qw_,q2_,mmse_,q2_uni,mmse_uni
1.05079,0.0,0.4651567824127859,0.02323442237293648,[0.0],nan,nan,nan,0.4651567824127859,0.02323442237293648
1.0632875,0.0,0.4685278902961699,0.02311909137379576,[0.0],nan,nan,nan,0.4685278902961699,0.02311909137379576
1.075785,0.0,0.471858315490475,0.023005152194597183,[0.0],nan,nan,nan,0.471858315490475,0.023005152194597183
1.0882824999999998,0.0,0.4751487470388254,0.02289258126207204,[0.0],nan,nan,nan,0.4751487470388254,0.02289258126207204
1.1007799999999999,0.0,0.4783998008812987,0.022781357503923922,[0.0],nan,nan,nan,0.4783998008812987,0.022781357503923922
1.1132775,0.0,0.48161206404089946,0.022671460837155787,[0.0],nan,nan,nan,0.48161206404089946,0.022671460837155787
1.125775,0.0,0.4847861325995025,0.022562870868852142,[0.0],nan,nan,nan,0.4847861325995025,0.022562870868852142
1.1382724999999998,0.0,0.487922611687241,0.02245556689654208,[0.0],nan,nan,nan,0.487922611687241,0.02245556689654208
1.1507699999999998,0.0,0.4910221152678213,0.02234952791554402,[0.0],nan,nan,nan,0.4910221152678213,0.02234952791554402
1.1632675,0.0,0.494085265865626,0.022244732628301928,[0.0],nan,nan,nan,0.494085265865626,0.022244732628301928
1.175765,0.0,0.49711266523754044,0.022141160447749112,[0.0],nan,nan,nan,0.49711266523754044,0.022141160447749112
1.1882624999999998,0.0,0.5001048473875923,0.02203879310475263,[0.0],nan,nan,nan,0.5001048473875923,0.02203879310475263
1.2007599999999998,0.0,0.5030623416731596,0.021937612489148883,[0.0],nan,nan,nan,0.5030623416731596,0.021937612489148883
1.2132574999999999,0.010211726876801186,0.5060287250000267,0.021836124407772398,"[0.0, 0.010211726876801186]",nan,nan,nan,0.5059856847223109,0.02183760024203229
1.225755,0.016654374220057052,0.5089884745376426,0.021734855405483,"[0.0, 0.016654374220057052]",nan,nan,nan,0.5088754202598317,0.021738737761707226
1.2382525,0.022765984900723738,0.511940708333657,0.021633832026462435,"[0.0, 0.022765984900723738]",nan,nan,nan,0.5117320989361719,0.021641006209539994
1.2507499999999998,0.028582222211130673,0.5148809656737862,0.02153320446873147,"[0.0, 0.028582222211130673]",nan,nan,nan,0.514556275483846,0.021544386607242935
1.2632474999999999,0.03413294567026197,0.5178056788270428,0.02143309316232404,"[0.0, 0.03413294567026197]",nan,nan,nan,0.5173484600592088,0.021448861501550193
1.275745,0.039443427572067896,0.5207119809759342,0.02133359512414846,"[0.0, 0.039443427572067896]",nan,nan,nan,0.52010912302704,0.021354414800529412
