alpha,qw,e1,e2,e3,e4,e5,e6
0.6,0.012020967146548545,-0.004076485788113807,0.5116513744309092,0.958814211065994,0.9716129876139835,0.9972674912138139,0.9979130658011491
0.2,0.014114703925482367,0.01738176979374586,0.8227743955052856,0.9738440598624973,0.9913727663292805,0.9988023635896034,0.9994608047512902
0.4,0.0026691505877134624,0.011346906187624795,0.6350736748724771,0.9664711502860944,0.980492666403844,0.9980042151966768,0.998647033812984
0.6,0.0042377260981912145,0.008067921742340365,0.5056717096099422,0.9636961874508839,0.9705686681208701,0.9979206493711384,0.9977458701535064
0.2,0.01731754269239299,0.014638101574628505,0.810035911584239,0.9741092768970702,0.9913859294416336,0.9989008075150796,0.9995041972508663
0.4,0.020999778221335107,-0.007708316699933483,0.6403167543431655,0.9646098166215717,0.9802181792013931,0.9979876335488553,0.9986184327973942
0.6,0.027568549280177185,0.013416611295681141,0.508854983142611,0.9645941595570324,0.972270316494538,0.9976586168914857,0.9979484487167692
1.2,0.017988280818131565,0.0027038142620232908,0.34236364252810014,0.9399760946379215,0.9545135276165674,0.9944233837461267,0.995905951479856
0.8,0.01270889994472084,0.005228966279712659,0.41234521908973637,0.9524649660340273,0.9577307468108676,0.9942920588723774,0.9950278219317078
1.6,0.01796793808734107,0.005382863460475499,0.3255861492537313,0.9446961740826731,0.95286021673794,0.9960187970919588,0.9957001807774997
1.0,-0.010796683250414595,0.004448866777225069,0.3610546261286162,0.9461550127486027,0.9576457424917553,0.9946764605178704,0.9961922899945941
1.8,0.006599889441680487,0.0020953012714206853,0.3017585376819604,0.9452181843572264,0.9584419095863562,0.9959623936298476,0.99677797368063
1.2,0.024189275843007188,-0.006525594250967424,0.34621915017505056,0.9553536205982435,0.9581313441227115,0.9968774227697564,0.9965529976890682
0.8,0.030909452736318403,-0.00664853510226643,0.4086871715496591,0.961753324203673,0.9608042240917225,0.9969597505419042,0.9966425080936855
1.4,0.004578883360972914,-0.0027409618573797146,0.3099070690989496,0.951623343666851,0.9547036589921503,0.9965544880025984,0.9962979096211243
1.0,-0.012013709231619681,-0.0030903261470426042,0.3865832319882072,0.9521705960665806,0.9583105533934934,0.9958897380706822,0.9959016906556175
1.2,0.005970149253731343,0.0027506909894969684,0.32512181610466195,0.9491847140200234,0.9557670363069918,0.9949207025122443,0.9961867857047614
1.6,0.010675511332227751,0.0025233830845771913,0.3191169132117192,0.9510792972028747,0.957803087185308,0.9966588342163737,0.9964630126857577
0.8,0.0028860143725815365,-0.006687451630735209,0.3989498551686015,0.9519291835538359,0.9628216045524477,0.9958841247908129,0.9970448332304981
1.0,0.03494615809839691,0.0019016030956329885,0.37490747153123266,0.970474531598796,0.9632208686432531,0.9984844009565563,0.9971670133765894
1.8,0.024745605306799343,-0.0013939192924267434,0.3067721776303666,0.9588231946833732,0.9572092803991237,0.9972835747293998,0.9965653265509364
1.2,-0.015307462686567162,0.008937534549474905,0.3247270491984522,0.9414270025084452,0.9552589136679073,0.9951983205115538,0.9961803632567998
0.8,0.012266666666666667,0.012596572692095038,0.429145673115902,0.9498542380640009,0.9638731820949246,0.9957693878294838,0.9971147203914467
1.4,0.054545052515201774,-0.008099944720840135,0.3474283456790123,0.9643456881321786,0.9607758820724361,0.9981422678294445,0.9970404830068148
1.0,0.002045771144278607,-0.00017158651188501443,0.3815294608439286,0.9587623946440637,0.9572753768055196,0.9969671251022206,0.9957293566323028
1.6,0.019409618573797676,-0.005626976229961187,0.29984166279712543,0.9519101723186538,0.9538484171796819,0.9967198082267343,0.9961468728194869
1.2,0.017601768933112216,0.002817025981205039,0.35839331343283587,0.9570363604397762,0.9605994790413367,0.9964308828777354,0.9969031281208153
0.8,-0.009869762299613045,0.006341625207296809,0.434590166206007,0.9648579733628155,0.9666599690435395,0.9977577228653507,0.9974192240882008
1.8,0.03885992260917633,0.003275179657269172,0.2725919675695596,0.956706524071003,0.9524951552995844,0.9960690893264866,0.9960273060209627
1.0,0.014107241569928137,0.000315754560530696,0.3753023563663166,0.9470676446508198,0.9593943207721065,0.9955977687043774,0.9964010220133293
1.2,0.028963626312880044,0.004042012161415196,0.35620751354339414,0.9625900479626559,0.9596721867875437,0.9977702442142712,0.996853940920275
1.4,-0.003616583747927032,0.005351022664455391,0.30609705841164553,0.9544638557336772,0.9550576955839732,0.9969465234710158,0.9962476201977383
0.8,0.013919734660033168,0.007287119955776681,0.40995769006817756,0.943330170756096,0.9626190222148844,0.9957525801794062,0.9968734921077854
1.0,0.030609618573797678,0.007931896075179627,0.37524187064676623,0.9676764382335236,0.9625001666378232,0.9991434221474649,0.9973174394240323
1.6,0.0017167495854063018,0.0004519624101713259,0.28952596425280996,0.9557533313973342,0.9501951981278135,0.9970599771080154,0.9955667534229183
1.2,0.016957877280265342,0.0012886677722498212,0.36816195172286703,0.9510631025809226,0.9590254769658539,0.995637018277125,0.9965123518305646
0.8,0.014233720287451629,-0.003857158651188441,0.4125971033720288,0.9578348996155027,0.9605881486615319,0.9972594765710481,0.9966095882369048
1.8,0.001515975677169707,-0.0017353233830846096,0.32634839432467294,0.9576790418278975,0.954576168283455,0.9972035522434628,0.9960143126463161
1.0,0.025913101160862356,0.005661470425649499,0.36305924009581725,0.9613239580664579,0.9584351560460742,0.9969369514937046,0.9964773591347099
1.4,0.018285461580983972,0.00023880597014934012,0.3092982612861619,0.9570893993440206,0.9522242562243269,0.9965954530982158,0.9956300489895363
1.2,0.037810060807075725,0.004997236042012273,0.3358588863091948,0.9638031917253241,0.9607142311086871,0.9988631577215462,0.9970388260819582
0.8,0.03128711995577667,0.00687938087341076,0.4077141993735029,0.9608577092807566,0.9624031843636796,0.9979203957844105,0.997065310795154
1.6,0.0019927031509121063,-0.0031752349364290978,0.31503205749032603,0.9452991617124257,0.956309705680388,0.9957185334024702,0.9964745184938568
1.0,0.015056274184632392,-0.005615478164731924,0.3529593631840795,0.9556206365702352,0.9541077073449544,0.9963597303480748,0.9956518950537178
1.2,0.025100276395798787,0.003244223327805389,0.32637570665192556,0.9451517031337141,0.951256895296882,0.9948781578296116,0.9952603699597997
1.8,-0.0018609176340519628,-0.0068466556108347275,0.3382325704809287,0.9568274640624039,0.9585505696493334,0.9969079952011318,0.9967707518860788
0.8,0.005075069098949697,0.007067772249861803,0.4479335706651927,0.9817991333603587,0.9693589963786337,0.999908036303139,0.9980602458274099
1.0,-0.0005474847982310668,0.0013028192371476507,0.36999550985811674,0.9534369416325779,0.9618009574768462,0.9972034134656025,0.9970701226473095
1.4,0.03567053620784964,-0.002013930348258774,0.31088052478349004,0.9610486306246545,0.9502571853429479,0.9968223451711241,0.9950430676362944
