alpha,qw,q2,mmse,sols,mmse_
0.7700615,0.08869647567005039,0.5618210712112922,0.04613634520229642,"[0.0, 0.08869647567005039]",nan
0.780061,0.09333348333411799,0.5658297939374846,0.045817248039930925,"[0.0, 0.09333348333411799]",nan
0.7900604999999999,0.0978022437863575,0.5697713286819157,0.04550348672150459,"[0.0, 0.0978022437863575]",nan
0.80006,0.10211410325744227,0.5736464223138973,0.04519500176546378,"[0.0, 0.10211410325744227]",nan
0.8100594999999999,0.10627942152530251,0.5774560419698581,0.04489171620900442,"[0.0, 0.10627942152530251]",nan
0.820059,0.11030762244849865,0.5812012739317362,0.044593543647783285,"[0.0, 0.11030762244849865]",nan
0.8300584999999999,0.11420713639169948,0.5848831355958632,0.044300403198053756,"[0.0, 0.11420713639169948]",nan
0.840058,0.11798569747356809,0.5885027383691044,0.04401220652182752,"[0.0, 0.11798569747356809]",nan
0.8500574999999999,0.121650465873148,0.5920613131367688,0.043728855792133786,"[0.0, 0.121650465873148]",nan
0.860057,0.12520796510613755,0.5955600681075478,0.04345025500606411,"[0.0, 0.12520796510613755]",nan
0.8700565,0.12866411731650101,0.5990001472015061,0.043176313294880184,"[0.0, 0.12866411731650101]",nan
0.880056,0.13202444566710986,0.6023827680819286,0.04290693392917294,"[0.0, 0.13202444566710986]",nan
0.8900555,0.13529410314429643,0.6057092001768661,0.042642016064730136,"[0.0, 0.13529410314429643]",nan
0.9000549999999999,0.13847777278298135,0.6089806142274694,0.042381466721553414,"[0.0, 0.13847777278298135]",nan
0.9100545,0.14157979236524368,0.6121981658504695,0.04212519412765445,"[0.0, 0.14157979236524368]",nan
0.9200539999999999,0.1446042531399128,0.6153630626139266,0.041873102374382284,"[0.0, 0.1446042531399128]",nan
0.9300535,0.14755496621155056,0.6184764975658488,0.04162509670840507,"[0.0, 0.14755496621155056]",nan
0.9400529999999999,0.15043541128439136,0.6215395639740442,0.04138109032225301,"[0.0, 0.15043541128439136]",nan
0.9500525,0.15324887213698468,0.6245533736987248,0.041140994924608494,"[0.0, 0.15324887213698468]",nan
0.9600519999999999,0.15599846520082936,0.6275190670796643,0.04090471995087763,"[0.0, 0.15599846520082936]",nan
0.9700515,0.15868706718358683,0.6304377133908617,0.04067218049254794,"[0.0, 0.15868706718358683]",nan
0.980051,0.16131735008732528,0.6333103293667534,0.04044329582143957,"[0.0, 0.16131735008732528]",nan
0.9900504999999999,0.1638918652010194,0.6361379562212576,0.04021798325278768,"[0.0, 0.1638918652010194]",nan
1.00005,0.16641303047267608,0.6389216320162704,0.039996160345716486,"[0.0, 0.16641303047267608]",nan
1.0100495,0.1688830667788281,0.6416623059193224,0.03977775173538406,"[0.0, 0.1688830667788281]",nan
1.020049,0.17130408155936944,0.6443609199338903,0.039562682620643656,"[0.0, 0.17130408155936944]",nan
1.0300485,0.17367809912133145,0.6470184336453175,0.03935087679133544,"[0.0, 0.17367809912133145]",nan
1.0400479999999999,0.17600701578202896,0.6496357630098318,0.03914226150602128,"[0.0, 0.17600701578202896]",nan
1.0500475,0.17829259355913163,0.6522137638073053,0.03893676881138643,"[0.0, 0.17829259355913163]",nan
1.060047,0.18053652841024914,0.6547533025055955,0.0387343298942775,"[0.0, 0.18053652841024914]",nan
1.0700465,0.18274044913180096,0.6572552476456551,0.038534875767666905,"[0.0, 0.18274044913180096]",nan
1.080046,0.18490586288833172,0.6597204002597702,0.03833834281748255,"[0.0, 0.18490586288833172]",nan
1.0900455,0.18703420169541168,0.6621495416157156,0.03814466899723649,"[0.0, 0.18703420169541168]",nan
1.100045,0.18912685400478857,0.66454346447453,0.0379537913357843,"[0.0, 0.18912685400478857]",nan
1.1100444999999999,0.1911851370632659,0.6669029366267567,0.03776564884432234,"[0.0, 0.1911851370632659]",nan
1.120044,0.19321027553138234,0.6692286701164576,0.03758018497065796,"[0.0, 0.19321027553138234]",nan
1.1300435,0.19520345439853148,0.6715213798312101,0.03739734292793682,"[0.0, 0.19520345439853148]",nan
1.140043,0.19716582272683011,0.6737817843537987,0.037217065626354295,"[0.0, 0.19716582272683011]",nan
1.1500424999999999,0.1990984530729552,0.676010554051098,0.03703929981297965,"[0.0, 0.1990984530729552]",nan
1.160042,0.20100236405242816,0.6782083347039916,0.03686399418794785,"[0.0, 0.20100236405242816]",nan
1.1700415,0.20287854975438463,0.680375779608522,0.03669109684421576,"[0.0, 0.20287854975438463]",nan
1.180041,0.20472796420423453,0.6825135283929774,0.03652055695690946,"[0.0, 0.20472796420423453]",nan
1.1900405,0.20655149543954152,0.6846221733623599,0.036352327468325514,"[0.0, 0.20655149543954152]",nan
1.20004,0.20835000542234966,0.6867023050180505,0.036186361457299775,"[0.0, 0.20835000542234966]",nan
1.2100395,0.21012433643891318,0.6887545176987574,0.03602261168896633,"[0.0, 0.21012433643891318]",nan
1.2200389999999999,0.21187528146171056,0.6907793719883384,0.0358610336139727,"[0.0, 0.21187528146171056]",nan
1.2300385,0.21360359306101873,0.6927774034720124,0.03570158467041082,"[0.0, 0.21360359306101873]",nan
1.240038,0.21531000948675894,0.6947491525583724,0.03554422190443818,"[0.0, 0.21531000948675894]",nan
1.2500375,0.216995245739375,0.6966951523372826,0.03538890293901414,"[0.0, 0.216995245739375]",nan
1.2600369999999999,0.21865996926320236,0.6986158974797178,0.035235588456003636,"[0.0, 0.21865996926320236]",nan
1.2700365,0.2203048291045883,0.7005118782274832,0.03508423948406931,"[0.0, 0.2203048291045883]",nan
1.280036,0.2219304632379078,0.7023835882403303,0.03493481677228594,"[0.0, 0.2219304632379078]",nan
1.2900355,0.22353747741536398,0.7042314975506889,0.03478728294876747,"[0.0, 0.22353747741536398]",nan
1.300035,0.2251264463303666,0.7060560529877059,0.034641602487301276,"[0.0, 0.2251264463303666]",nan
1.3100345,0.22669793595562615,0.707857704369332,0.03449773961670487,"[0.0, 0.22669793595562615]",nan
1.320034,0.22825249877417217,0.7096368976247719,0.034355658869667696,"[0.0, 0.22825249877417217]",nan
1.3300334999999999,0.2297906524187993,0.7113940481539078,0.0342153272099612,"[0.0, 0.2297906524187993]",nan
1.340033,0.23131290089165218,0.7131295656568392,0.03407671205033515,"[0.0, 0.23131290089165218]",nan
1.3500325,0.2328197421963833,0.7148438627152645,0.03393978056722808,"[0.0, 0.2328197421963833]",nan
1.360032,0.23431165269338886,0.7165373351206876,0.03380450127164425,"[0.0, 0.23431165269338886]",nan
1.3700314999999998,0.23578908471096102,0.7182103581837178,0.033670844304212307,"[0.0, 0.23578908471096102]",nan
1.380031,0.237252485214654,0.7198633089922849,0.03353877965775178,"[0.0, 0.237252485214654]",nan
1.3900305,0.23870229327657755,0.7214965625327746,0.033408277486864535,"[0.0, 0.23870229327657755]",nan
1.4000299999999999,0.24013892224055725,0.7231104696897269,0.03327930986546811,"[0.0, 0.24013892224055725]",nan
1.4100295,0.2415627750727392,0.7247053753054831,0.03315184934445829,"[0.0, 0.2415627750727392]",nan
1.420029,0.2429742517532864,0.7262816265869775,0.033025868280011306,"[0.0, 0.2429742517532864]",nan
1.4300285,0.24437373748967808,0.7278395585059146,0.03290134000002694,"[0.0, 0.24437373748967808]",nan
1.4400279999999999,0.24576159875824,0.7293794884770882,0.03277823922956738,"[0.0, 0.24576159875824]",nan
1.4500275,0.24713819886631877,0.7309017349317996,0.03265654060692029,"[0.0, 0.24713819886631877]",nan
1.460027,0.24850389664233288,0.7324066151185679,0.0325362188591247,"[0.0, 0.24850389664233288]",nan
1.4700265,0.249859031633959,0.7338944271579331,0.03241725023632077,"[0.0, 0.249859031633959]",nan
1.4800259999999998,0.2512039355911194,0.7353654634016537,0.03229961144422742,"[0.0, 0.2512039355911194]",nan
1.4900255,0.2525389390973627,0.7368200181171756,0.03218327902985666,"[0.0, 0.2525389390973627]",nan
1.500025,0.25386436255513495,0.7382583763483238,0.032068230271894725,"[0.0, 0.25386436255513495]",nan
1.5100244999999999,0.2551805117309782,0.7396808083580484,0.031954443625193424,"[0.0, 0.2551805117309782, 0.9277147121409886, 0.956874640259496]",0.00807855422735471
1.520024,0.2564876908237173,0.7410875849908055,0.031841897492642976,"[0.0, 0.2564876908237173, 0.9186144882373581, 0.9625946901909973]",0.007200847507871869
1.5300235,0.2577862017038318,0.7424789763582071,0.0317305703300601,"[0.0, 0.2577862017038318, 0.9114046878134016, 0.9664316317892667]",0.0065853110598005984
1.540023,0.25907633163964205,0.7438552372139395,0.031620441815822624,"[0.0, 0.25907633163964205, 0.9051004496140784, 0.9694103107739781]",0.006091837815972993
1.5500224999999999,0.26035836221455444,0.7452166171693808,0.031511492034044256,"[0.0, 0.26035836221455444, 0.8993558531647023, 0.971833186938468]",0.0056798820431097005
1.560022,0.2616325750906034,0.746563367389243,0.031403700939023546,"[0.0, 0.2616325750906034, 0.894003683386925, 0.9738770679539409]",0.005324716015694604
1.5700215,0.26289924488814337,0.7478957317928452,0.03129704905885776,"[0.0, 0.26289924488814337, 0.8889447562186699, 0.9756495002180143]",0.005010871104773058
1.580021,0.2641586348466703,0.7492139420013575,0.031191517899870923,"[0.0, 0.2641586348466703, 0.8841162606187374, 0.9772129058643325]",0.004729392019294721
1.5900204999999998,0.26541100794529515,0.75051823000997,0.031087088932812045,"[0.0, 0.26541100794529515, 0.8794772468994647, 0.9786031153331121]",0.004475322776172047
1.60002,0.2666566261864647,0.7518088272691089,0.030983743666250597,"[0.0, 0.2666566261864647, 0.8749954550056607, 0.9798520163895058]",0.00424396959793572
1.6100195,0.2678957406052861,0.7530859527163852,0.030881464604166013,"[0.0, 0.2678957406052861, 0.8706472939224045, 0.9809839680054749]",0.004031676437978832
1.6200189999999999,0.2691285982600132,0.7543498209412596,0.030780234592795518,"[0.0, 0.2691285982600132, 0.8664167466466294, 0.982016573006789]",0.003835803732789276
1.6300185,0.2703554473937444,0.7556006478102476,0.030680036370247236,"[0.0, 0.2703554473937444, 0.8622884556421031, 0.9829634020924053]",0.0036543043578221492
1.640018,0.2715765312349236,0.7568386432334044,0.03058085314539147,"[0.0, 0.2715765312349236, 0.8582512077075051, 0.9838353920742123]",0.0034855098632336975
1.6500175,0.2727920845758158,0.7580640070092497,0.030482668930509958,"[0.0, 0.2727920845758158, 0.8542937201845647, 0.9846415753420557]",0.0033280241044813304
1.6600169999999999,0.27400234288563496,0.7592769392423915,0.030385467707363265,"[0.0, 0.27400234288563496, 0.8504124642605274, 0.9853894931451583]",0.0031806668952119813
1.6700165,0.27520754188169105,0.7604776395453716,0.03028923349083052,"[0.0, 0.27520754188169105, 0.8465985128199115, 0.9860854555980321]",0.0030424409497314692
1.680016,0.27640790890658257,0.7616662971491384,0.03019395112079098,"[0.0, 0.27640790890658257, 0.8428457774740397, 0.9867347327740578]",0.0029125080141040437
1.6900155,0.2776036691350616,0.762843097799532,0.030099605709895363,"[0.0, 0.2776036691350616, 0.8391494066332098, 0.987341693059376]",0.0027901723509297406
1.7000149999999998,0.27879504970726715,0.7640082282945773,0.03000618228002509,"[0.0, 0.27879504970726715, 0.8355050783962688, 0.9879105978750076]",0.002674729164065987
1.7100145,0.2799822744622619,0.7651618703200979,0.029913666255844573,"[0.0, 0.2799822744622619, 0.8319090941456888, 0.988444994468757]",0.002565590839050693
1.720014,0.2811655612180502,0.7663041973353332,0.029822043714330296,"[0.0, 0.2811655612180502, 0.8283590931671129, 0.9889474282230154]",0.002462352484932968
1.7300134999999999,0.28234512956792485,0.7674353831382634,0.029731300698473094,"[0.0, 0.28234512956792485, 0.8248550385055269, 0.989421049824739]",0.002364468488456714
1.740013,0.28352120027361194,0.7685556009906351,0.029641423287117837,"[0.0, 0.28352120027361194, 0.8213893575183154, 0.9898677736029351]",0.002271631287213716
1.7500125,0.28469398801072326,0.7696650154244784,0.029552398251442225,"[0.0, 0.28469398801072326, 0.8179573697440634, 0.9902903904982601]",0.0021833386737427334
1.760012,0.9906913056059629,0.9826403269552085,0.0020991554986506712,"[0.0, 0.2858637069677985, 0.8145642763713746, 0.9906913056059629]",0.02946421256628795
1.7700114999999998,0.9910634546468019,0.9832960302632121,0.002020634418025087,"[0.0, 0.28703057421709177, 0.8112073421729453, 0.9910634546468019]",0.029376853128587156
1.780011,0.9914298017372384,0.9839441477080483,0.001942987810848987,"[0.0, 0.2881948049164405, 0.8078749097272012, 0.9914298017372384]",0.029290307194280097
1.7900105,0.9917658141211374,0.9845411554284247,0.001871442246583286,"[0.0, 0.2893566105534717, 0.8045821390766158, 0.9917658141211374]",0.029204562539211804
1.8000099999999999,0.9920896962826888,0.9851187774046402,0.0018021913259931646,"[0.0, 0.29051620555285723, 0.8013089156362697, 0.9920896962826888]",0.029119606897527607
1.8100094999999998,0.9923990634466411,0.9856725301103105,0.0017357748293956605,"[0.0, 0.29167380649208435, 0.7980705663910382, 0.9923990634466411]",0.029035428046323256
1.820009,0.992688597208592,0.9861926795968446,0.0016733669641924784,"[0.0, 0.29282962597534673, 0.7948516077951278, 0.992688597208592]",0.028952014348214726
1.8300085,0.992970303071595,0.9867004049049096,0.0016124226904920755,"[0.0, 0.2939838779395985, 0.7916642818595778, 0.992970303071595]",0.02886935430330986
1.8400079999999999,0.9932346089085506,0.9871783551349373,0.0015550310678148216,"[0.0, 0.29513678031375845, 0.7884924458866399, 0.9932346089085506]",0.028787436343661453
1.8500075,0.9934860687089422,0.9876344764106448,0.0015002388362824956,"[0.0, 0.29628855049588987, 0.7853537605267473, 0.9934860687089422]",0.028706249231575866
1.860007,0.9937295374607742,0.988077364072356,0.001447012906038131,"[0.0, 0.29743940469220553, 0.7822233351570838, 0.9937295374607742]",0.028625782130923063
1.8700065,0.9939607383949224,0.9884991596576922,0.0013963021479573515,"[0.0, 0.2985895634467687, 0.7791281700322057, 0.9939607383949224]",0.02854602415379913
1.8800059999999998,0.9941811055482271,0.9889023141042529,0.0013478139847384676,"[0.0, 0.29973925070855945, 0.7760403491135289, 0.9941811055482271]",0.02846696446565622
1.8900055,0.9943927264028288,0.9892904956232876,0.00130110823649994,"[0.0, 0.30088868866838864, 0.7729783546201063, 0.9943927264028288]",0.02838859272558724
1.900005,0.9945963394824001,0.9896649467077075,0.001256036689195418,"[0.0, 0.3020381030636413, 0.7699391521107617, 0.9945963394824001]",0.028310898668353984
1.9100044999999999,0.9947906755993727,0.9900232486660732,0.00121289303077886,"[0.0, 0.30318772504535035, 0.7669021781413684, 0.9947906755993727]",0.028233871968469854
1.9200039999999998,0.9949754398449484,0.9903647264041154,0.0011717597412160743,"[0.0, 0.30433778702524733, 0.7638971665138302, 0.9949754398449484]",0.02815750260942701
1.9300035,0.995153911353405,0.9906953294023623,0.001131920905314221,"[0.0, 0.3054885229945813, 0.7609064327229218, 0.995153911353405]",0.028081780868053748
1.940003,0.9953244838549665,0.9910120285025027,0.0010937439099266127,"[0.0, 0.3066401733385097, 0.7579169836378777, 0.9953244838549665]",0.028006696956957705
1.9500024999999999,0.9954880973098962,0.991316461288671,0.0010570316988870766,"[0.0, 0.3077929834604546, 0.7549585227066069, 0.9954880973098962]",0.02793224115601086
1.960002,0.9956452526964982,0.9916094921040675,0.0010216814186411911,"[0.0, 0.30894719995252545, 0.7520139742295288, 0.9956452526964982]",0.02785840415045409
1.9700015,0.995796026590433,0.9918911959775865,0.0009876851365890355,"[0.0, 0.31010307565042244, 0.7490662097341652, 0.995796026590433]",0.027785176645439155
1.980001,0.995940770219811,0.9921621648055888,0.0009549724783294057,"[0.0, 0.31126087113927636, 0.7461447516468601, 0.995940770219811]",0.027712549290464482
1.9900004999999998,0.9960797468052613,0.9924228318485556,0.0009234921305885102,"[0.0, 0.31242085064827896, 0.7432424633953415, 0.9960797468052613]",0.0276405130241835
2.0,0.9962131841636889,0.9926735685779722,0.0008932001621440554,"[0.0, 0.31358328381178735, 0.7403402164080201, 0.9962131841636889]",0.027569058974953743
